Код станции,Название станции,Тип станции
452314,"137 км, ПРД ",
407520,"137 км (о.п), ОД ",
674118,"14 км, КЗХ ",
651313,"1411 км, КБШ ",
904423,"1441 км, ВСИ ",
527027,"147 км, СКА ",Остановочный пункт
906607,"1536 км (о.п.), ВСИ ",
429520,"155 км, ЮЖН ",
429623,"167 км, ЮЖН ",Остановочный пункт
530413,"1680 км, СКА ",
530439,"1690 км, СКА ",
638732,"17 км, КБШ ",
674137,"17 км, КЗХ ",
810851,"172 км, ЮУР ",
400567,"18 км, ОД ",Разъезд
827034,"19 км, ЮУР ",
653145,"199 км, КБШ ",
306813,"Абросимово (рзд), СЕВ ",Разъезд
43010,"Абросово, ОКТ ",Станция
972064,"Аван, ДВО ",Станция
918337,"Аваха (рзд), ДВО ",Разъезд
429106,"Августовский, ЮЖН ",Грузовая станция
889149,"Авда, КРА ",
496986,"Авдаково, ДОН ",Станция
482803,"Авдеевка, ДОН ",Грузовая станция
880356,"Аверьяновка, КРА ",
193006,"Авиационная, МОС ",Грузовая станция
622522,"Авилово, ПРИ ",Станция
754905,"Авламыш, ТУР ",
712502,"Аврора, КЗХ ",
231903,"Авсюнино, МОС ",Грузовая станция
35508,"Автово, ОКТ ",Грузовая станция
35404,"Автово (перев.), ОКТ ","Перевалка на море 
Грузовая станция"
35601,"Автово (эксп.), ОКТ ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
560307,"Авчала, ГРУ ",Грузовая станция
560330,"Авчала (эксп.), ГРУ ",
943610,"Ага, ЗАБ ",Станция
578705,"Агара, ГРУ ",
551168,"Агбент, АЗЕ ",Станция
555506,"Агдам, АЗЕ ",Грузовая станция
566407,"Агин, АРМ ",Грузовая станция
778800,"Агириш, СВЕ ",Грузовая станция
113406,"Аглона, ЛАТ ",Грузовая станция
524508,"Агроном, СКА ",Грузовая станция
254905,"Агрыз, ГОР ",Грузовая станция
889440,"Агул, КРА ",Разъезд
571808,"Агур-Кархана (рзд), ГРУ ",
423720,"Адабаш, ОД ",Станция
622202,"Ададурово, ПРИ ",Грузовая станция
162012,"Адамово, БЕЛ ",Станция
337604,"Адамполь, ЮЗА ",Грузовая станция
974214,"Адарка, ДВО ",
575694,"Аджамети, ГРУ ",
732402,"Аджибугут, УЗБ ",
573701,"Адзюбжа (рзд), ГРУ ",Грузовая станция
633226,"Адикаевка (рзд), КБШ ",
765321,"Адищево, СВЕ ",
532805,"Адлер, СКА ","Грузовая станция 
Является опорной"
919005,"Адникан (рзд), ДВО ",Разъезд
943362,"Адриановка, ЗАБ ",Станция
785403,"Адуй, СВЕ ",Грузовая станция
691406,"Адыр, КЗХ ",Грузовая станция
737124,"Ажинияз (рзд), УЗБ ",
788408,"Азанка, СВЕ ",Грузовая станция
188601,"Азарово, МОС ",Грузовая станция
687508,"Азат, КЗХ ",Грузовая станция
749301,"Азатлык, ТУР ",
922205,"Азей, ВСИ ",Грузовая станция
772908,"Азиатская, СВЕ ",Грузовая станция
276834,"Азино, ГОР ",Станция
510806,"Азов, СКА ",Грузовая станция
518704,"Азов (перев.), СКА ","Перевалка на море 
Грузовая станция"
510308,"Азов (эксп.), СКА ","Перевалка на море и экспорт 
Перевалка на реку и экспорт 
Грузов"
869304,"Азовская, КРЫМ ",Грузовая станция
172705,"Азотная, МОС ",Грузовая станция
709162,"Аиртау, КЗХ ",
806466,"Ай, ЮУР ",Станция
868405,"Айвазовская, КРЫМ ",Грузовая станция
868509,"Айвазовская (эксп.), КРЫМ ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
569405,"Айгаван, АРМ ",Грузовая станция
654010,"Айгир, КБШ ",
708742,"Айгыржал, КЗХ ",
700596,"Айдарлы (рзд), КЗХ ",
753945,"Айдынг, ТУР ",Грузовая станция
815802,"Айдырля, ЮУР ",Грузовая станция
93700,"Айзкраукле, ЛАТ ",Грузовая станция
798236,"Айка, СВЕ ",Разъезд
682100,"Айке, КЗХ ",
282318,"Айкино, СЕВ ",Станция
282708,"Айкино (перев.), СЕВ ",Станция
701300,"Айна-Булак, КЗХ ",Грузовая станция
837303,"Айнак, ЗСИ ",Грузовая станция
745506,"Айни, ТАД ",
745402,"Айни (эксп.), ТАД ",
564702,"Айрум, АРМ ",Грузовая станция
569706,"Айрум (эксп.), АРМ ","Погранпереход 
Грузовая станция"
733405,"Айрытам, УЗБ ",Грузовая станция
675939,"Айса, КЗХ ",
694107,"Айсары, КЗХ ",Грузовая станция
669105,"Айтеке Би, КЗХ ",
751009,"Ак Ил, ТУР ",
667307,"Ак-Булак, КЗХ ",Грузовая станция
708621,"Ак-Булат, КЗХ ",
662106,"Ак-Кистау, КЗХ ",
692601,"Ак-Куль, КЗХ ",Грузовая станция
737048,"Ак-Тобе (рзд), УЗБ ",
702430,"Ак-Узяк, КЗХ ",
62900,"Академическая, ОКТ ",Грузовая станция
677205,"Акадыр, КЗХ ",Грузовая станция
724904,"Акалтын, УЗБ ",Грузовая станция
551505,"Акара, АЗЕ ",Грузовая станция
573504,"Акармара, ГРУ ",Грузовая станция
702657,"Акбалык, КЗХ ",
743214,"Акбарабад, УЗБ ",
647523,"Акбаш, КБШ ",Станция
698112,"Акдала (рзд), КЗХ ",
753926,"Акджагуйма, ТУР ",Станция
670051,"Акеспе, КЗХ ",
876717,"Акжадепе, ТУР ",
677900,"Акжайдак, КЗХ ",Грузовая станция
661601,"Акжайык, КЗХ ","Перевалка на море 
Грузовая станция"
705231,"Акжар, КЗХ ",
662708,"Акжигит, КЗХ ",Грузовая станция
475903,"Акимовка, ПРД ",
242,Акина ,"Погранпереход 
Грузовая станция"
243,Акина (экс) ,"Погранпереход 
Грузовая станция"
721304,"Аккавак, УЗБ ",Грузовая станция
679709,"Аккайтым (рзд), КЗХ ",Разъезд
